angDist,RAJ2000,DEJ2000,nobs,B-V,e_B-V,fuv_mag,nuv_mag,ipmag,gpmag,rpmag,present,type
0.5144,46.364907,6.017593,5,0.634,0.045,23.355,18.378,13.419,13.995,13.55,1,ROT                           
0.370771,46.308597,6.148217,5,0.922,0.086,21.707,19.078,11.799,12.856,12.077,1,ROT                           
0.313097,46.567988,6.234476,5,0.682,0.066,23.253,16.875,11.269,11.917,11.409,0,
1.386837,46.432505,6.285018,5,0.421,0.085,19.188,14.284,10.427,10.737,10.466,0,
0.968107,46.362957,6.28396,5,0.608,0.064,23.419,16.146,11.058,11.597,11.181,0,
0.876477,46.718429,6.317236,5,0.726,0.062,22.612,17.37,11.867,12.608,12.038,0,
0.876417,46.773724,6.393825,5,0.648,0.068,22.989,16.888,11.909,12.525,12.031,0,
1.367077,46.935059,6.479158,6,0.715,0.057,23.261,16.69,11.555,12.501,11.722,0,
0.987461,46.618724,6.595451,7,0.567,0.12,22.45,15.481,10.229,10.82,10.368,0,
0.460222,46.853622,5.819268,5,0.647,0.059,23.739,16.78,11.738,12.407,11.908,0,
0.587551,46.745468,5.833251,5,0.528,0.064,21.079,16.094,11.776,12.274,11.916,0,
1.473817,47.017264,5.927437,5,1.192,0.092,23.212,21.108,14.48,16.234,14.911,0,
1.004815,47.003985,5.966465,5,1.216,0.0,21.723,20.253,14.328,16.182,14.785,0,
0.286013,46.601992,5.956899,5,0.901,0.053,23.993,18.802,11.163,12.155,11.389,1,ROT                           
0.869353,46.737327,6.03311,5,0.449,0.062,19.591,15.494,11.223,11.479,11.216,0,
1.83715,47.121292,6.196526,6,0.482,0.051,21.212,17.334,13.184,13.889,13.267,0,
1.088763,47.019771,6.303526,5,0.822,0.066,23.468,19.104,12.974,14.032,13.169,0,
0.689802,34.035429,14.366036,5,0.538,0.014,22.187,16.394,11.695,12.225,11.863,0,
0.658569,34.107345,14.387625,5,0.546,0.029,22.898,17.239,13.01,13.567,13.184,0,
0.684954,28.316935,14.890535,6,0.521,0.025,22.503,16.246,12.017,12.482,12.117,1,EA                            
0.773106,27.895012,14.699757,6,0.613,0.119,23.826,17.661,12.109,12.712,12.219,0,
1.376153,27.927217,14.74374,5,0.536,0.043,22.859,16.626,11.927,12.391,12.022,0,
0.319999,27.95291,14.751126,6,0.747,0.046,23.652,16.808,10.508,11.227,10.675,0,
1.229485,28.089077,14.805624,5,0.464,0.04,19.729,14.609,10.649,10.993,10.718,0,
0.544276,33.893294,14.531739,5,0.6,0.032,23.396,17.178,12.199,12.803,12.377,0,
1.040712,27.865763,14.808151,6,0.535,0.033,22.841,16.5,11.688,12.152,11.775,0,
0.743002,28.439895,14.88991,6,0.544,0.035,22.252,16.285,11.575,12.065,11.687,0,
1.463149,28.535182,15.000972,5,0.613,0.052,23.431,18.268,13.41,14.086,13.612,0,
0.615315,28.275163,15.017383,5,0.47,0.038,21.649,15.652,11.518,11.959,11.631,0,
0.815234,28.454147,15.16665,6,0.519,0.094,23.261,18.646,14.067,14.672,14.306,0,
1.205717,28.518631,15.26904,6,0.101,0.033,15.873,14.914,12.432,12.291,12.389,0,
1.379401,27.865555,14.955017,5,0.469,0.033,20.122,14.982,11.311,11.665,11.392,0,
1.144714,27.810464,15.056352,7,0.527,0.052,21.756,15.933,11.238,11.918,11.559,0,
1.12755,27.766801,15.063888,7,0.597,0.062,22.158,16.141,10.692,11.383,10.969,0,
1.121065,27.688476,15.108308,7,0.496,0.053,20.399,15.161,10.962,11.497,11.174,1,DSCT|GDOR|SXPHE               
1.414642,27.625601,15.201413,5,0.715,0.039,21.911,15.081,9.249,9.821,9.383,0,
1.147129,27.776669,15.167781,8,0.441,0.264,20.445,15.991,12.298,12.885,12.623,1,EB                            
0.526263,27.840192,15.19097,6,0.56,0.051,23.144,16.975,12.167,12.886,12.514,0,
0.500153,28.161837,15.259036,6,0.56,0.046,23.818,17.285,12.538,13.167,12.749,0,
1.013387,28.413186,15.392905,6,0.511,0.032,21.965,16.229,11.744,12.235,11.9,0,
1.274483,28.002683,15.329661,6,0.552,0.031,22.043,15.663,11.118,11.689,11.313,0,
2.097691,27.866326,15.324614,6,0.437,0.094,20.591,14.381,9.773,10.265,9.846,0,
0.15504,27.899702,15.366891,7,0.936,0.063,22.992,18.936,10.958,12.276,11.507,1,ROT                           
0.415981,27.913163,15.372512,6,0.803,0.062,23.324,21.005,14.019,15.108,14.5,1,ROT                           
0.343615,28.718261,15.197253,6,0.641,0.039,23.004,17.073,11.394,12.105,11.648,0,
0.386711,28.888926,15.304897,6,0.714,0.033,23.165,18.245,12.33,13.121,12.594,0,
