RAJ2000,DEJ2000
46.372358,6.001498
46.22877,6.124098
46.364907,6.017593
46.317652,6.095993
46.395431,6.133107
46.261995,6.122193
46.308597,6.148217
46.407251,6.220056
46.567988,6.234476
46.432505,6.285018
46.190804,6.209226
46.362957,6.28396
46.218301,6.385778
46.718429,6.317236
46.773724,6.393825
46.733255,6.532421
46.935059,6.479158
46.618724,6.595451
46.307246,5.85369
46.853622,5.819268
46.745468,5.833251
47.017264,5.927437
47.003985,5.966465
46.601992,5.956899
46.737327,6.03311
47.153391,6.063911
47.121292,6.196526
47.019771,6.303526
46.819756,6.262264
34.403559,14.253404
34.362389,14.387393
34.035429,14.366036
34.107345,14.387625
28.417849,14.795682
34.321471,14.46586
34.288424,14.523195
28.316935,14.890535
27.895012,14.699757
27.927217,14.74374
27.95291,14.751126
28.089077,14.805624
33.923711,14.488316
33.93815,14.517936
33.893294,14.531739
27.865763,14.808151
34.070625,14.65209
28.479788,14.790812
28.439895,14.88991
28.444331,14.908693
28.535182,15.000972
28.632843,15.001972
28.587082,15.061122
28.275163,15.017383
28.214781,15.069868
28.454147,15.16665
28.518631,15.26904
27.865555,14.955017
27.810464,15.056352
27.766801,15.063888
27.688476,15.108308
27.505055,15.070876
27.625601,15.201413
27.776669,15.167781
27.840192,15.19097
27.840164,15.190772
28.161837,15.259036
28.413186,15.392905
28.002683,15.329661
27.866326,15.324614
27.899702,15.366891
27.913163,15.372512
28.718261,15.197253
28.888926,15.304897
28.953231,15.312177
29.106252,15.363723
28.65079,15.277507
27.358313,15.221032
27.471268,15.346246
27.531369,15.393149
27.135114,15.38617
27.060261,15.422874
31.428674,12.644399
31.495356,12.692966
31.110343,12.962413
31.12109,12.963593
31.167766,13.002497
30.986016,13.066957
31.000598,13.074919
30.992314,13.114032
31.75007,12.805625
31.644195,12.79043
31.586172,12.835267
31.872999,12.932507
31.925164,12.98612
31.702797,12.944131
31.813236,13.260376
31.775365,13.335415
31.845281,13.35541
31.777241,13.36419
31.311973,13.04812
31.421073,13.090815
31.185104,13.057611
31.332875,13.258418
31.042561,13.297847
31.079641,13.315447
31.525694,13.43402
31.623533,13.461875
31.722236,13.581389
31.422252,13.490078
31.686655,13.737929
31.504059,13.714389
29.801427,13.166386
29.679503,13.181416
30.905687,13.284712
30.962723,13.744985
31.190731,13.679097
31.221024,13.764452
31.308237,13.837282
31.549539,13.82378
31.229034,13.890024
30.624344,13.88355
30.736682,13.997576
30.618862,14.109734
30.86846,13.955518
31.101172,14.144806
31.222845,14.128511
30.985568,14.184038
30.69386,14.224894
30.928455,14.191765
30.99749,14.222859
30.875285,14.26327
31.061081,14.350319
30.996409,14.310333
32.767452,13.854772
32.784313,13.905923
32.889914,13.917073
32.873871,13.98683
32.483654,14.022556
32.495384,14.081484
32.657919,14.138466
32.172355,14.161689
32.203502,14.186465
32.145572,14.213659
33.239991,14.102882
33.219818,14.253832
33.000816,14.143017
32.974364,14.210003
32.810367,14.12067
32.83527,14.202063
32.878203,14.300468
33.161489,14.366643
32.913086,14.298194
33.419126,14.336308
33.577778,14.365825
33.36276,14.49788
33.162995,14.551668
33.190086,14.600987
32.654237,14.401779
32.913035,14.444179
32.590754,14.397906
32.509499,14.434218
32.623031,14.451658
32.670041,14.580336
32.78716,14.581963
32.613518,14.574564
33.112418,14.681309
32.946902,14.666194
33.055713,14.685636
31.658203,14.067723
31.59248,14.102252
31.659615,14.257756
32.024057,14.243214
27.959648,14.631076
28.00077,14.654357
32.104285,14.349601
32.001054,14.36613
31.966647,14.375687
32.276705,14.505331
32.220182,14.519053
32.249314,14.555558
32.080242,14.572832
31.88525,14.670072
31.966212,14.735223
31.358347,14.294865
31.379443,14.361812
31.446228,14.345617
31.734675,12.055494
31.880569,12.100968
31.414601,14.521244
31.121797,14.492264
31.075913,14.568384
31.673269,14.583749
31.731089,14.62107
31.728676,14.657226
31.733703,14.649579
31.549452,12.188864
31.713206,14.721932
31.703333,14.753148
31.727344,14.830617
31.443569,12.379247
31.460944,14.751585
31.559697,12.435946
31.427592,14.758361
31.635728,12.527892
31.571772,14.870366
32.066,12.306489
32.171341,14.697581
32.122533,12.472622
32.12094,12.504534
32.094852,12.604334
31.976476,12.747181
31.919889,12.868002
31.994858,12.937508
29.627757,13.585678
29.587517,13.58667
29.332226,13.617073
29.357824,13.683025
29.456006,13.622219
29.446636,13.645503
33.593689,13.059737
33.728911,13.103419
29.89469,14.00816
29.734045,13.99248
29.877857,14.042594
29.203032,13.606154
29.125676,13.637822
29.019315,13.719041
29.407452,13.953431
29.11824,13.85669
29.155016,14.011516
29.107532,14.063534
29.518428,14.03604
29.704459,14.018227
29.691596,14.058741
29.567647,14.296527
30.180163,14.026281
30.477906,14.101493
30.491428,14.165584
33.860843,13.328228
30.142413,14.174851
30.006719,14.161303
30.064463,14.302555
30.281016,14.258623
30.315604,14.28982
30.230298,14.333571
30.604276,14.273146
30.660944,14.30644
30.571022,14.440207
30.894815,14.5042
30.665926,14.674992
33.207174,12.994866
33.266359,13.049841
33.1648,13.02398
29.970713,14.277146
29.926238,14.294282
29.926247,14.294253
29.927817,14.319842
29.850877,14.342756
29.769679,14.313733
30.16321,14.485031
29.70032,14.340683
33.510234,13.053591
29.84473,14.498122
29.591029,14.485326
29.9898,14.644225
29.835585,14.625412
29.811709,14.676812
33.105243,13.216908
33.130337,13.259883
33.27457,13.445364
28.737043,13.946266
28.863224,14.087022
33.208996,13.407116
28.658225,14.092572
33.337853,13.572852
28.727284,14.162665
28.571853,14.217082
32.974361,13.516733
33.08085,13.612694
33.063061,13.824014
33.787003,13.325122
29.277893,14.323148
29.051137,14.340973
29.169798,14.373196
33.571351,13.53565
33.480595,13.5674
33.553354,13.600043
28.879774,14.476236
33.666159,13.638524
28.914606,14.49195
28.968861,14.566757
29.167056,14.682005
34.278531,13.938547
34.206633,13.941378
28.455419,14.229803
33.874448,13.859183
28.646794,14.464462
34.122052,14.016295
28.69405,14.57876
28.326932,14.357018
33.470201,13.680037
28.285762,14.53637
28.320609,14.556576
33.600192,13.811404
33.36271,13.854865
33.247609,13.928765
33.177717,13.918454
33.176531,13.96928
28.87183,14.563366
28.903343,14.608022
28.762451,14.575879
33.295485,14.018049
29.058771,14.835946
34.070154,14.158836
34.032023,14.192224
28.698988,14.757291
33.984788,14.271364
28.952739,14.920753
28.966652,14.940188
33.547624,14.165345
33.478051,14.201169
33.607012,14.205242
33.61393,14.261715
28.829362,14.94804
28.874627,15.018894
28.80528,15.063898
29.557531,14.63451
29.470082,14.665615
29.539886,14.656301
29.559933,14.74735
29.53856,14.791536
29.304127,14.735487
29.362055,14.771428
29.437501,14.991963
29.465871,15.018802
29.506748,15.040207
29.798982,15.006178
29.654637,14.986543
29.810196,15.047175
29.786833,15.072188
29.615508,15.096235
29.12189,14.850341
29.052238,14.906685
29.181275,15.014985
29.390266,14.971322
29.209256,15.082344
29.354298,15.14296
29.004307,14.945521
29.091048,15.058375
29.016592,15.109217
29.099642,15.173308
29.118603,15.16699
