angDist,RAJ2000,DEJ2000,nobs,B-V,e_B-V,fuv_mag,nuv_mag,ipmag,gpmag,rpmag,present,type,class
0.5144,46.364907,6.017593,5,0.634,0.045,23.355,18.378,13.419,13.995,13.55,1,ROT                           ,ROTATIONAL
0.370771,46.308597,6.148217,5,0.922,0.086,21.707,19.078,11.799,12.856,12.077,1,ROT                           ,ROTATIONAL
0.286013,46.601992,5.956899,5,0.901,0.053,23.993,18.802,11.163,12.155,11.389,1,ROT                           ,ROTATIONAL
0.684954,28.316935,14.890535,6,0.521,0.025,22.503,16.246,12.017,12.482,12.117,1,EA                            ,ECLIPSING
1.121065,27.688476,15.108308,7,0.496,0.053,20.399,15.161,10.962,11.497,11.174,1,DSCT|GDOR|SXPHE               ,ECLIPSING
1.147129,27.776669,15.167781,8,0.441,0.264,20.445,15.991,12.298,12.885,12.623,1,EB                            ,ECLIPSING
0.15504,27.899702,15.366891,7,0.936,0.063,22.992,18.936,10.958,12.276,11.507,1,ROT                           ,ROTATIONAL
0.415981,27.913163,15.372512,6,0.803,0.062,23.324,21.005,14.019,15.108,14.5,1,ROT                           ,ROTATIONAL
0.908003,27.471268,15.346246,7,0.659,0.059,23.268,17.936,12.644,13.352,12.859,1,ROT                           ,ROTATIONAL
1.518998,31.428674,12.644399,8,0.58,0.04,20.458,15.994,11.506,12.068,11.686,1,EW                            ,ECLIPSING
1.217712,31.586172,12.835267,8,0.541,0.043,20.212,15.281,10.844,11.302,10.961,1,RS                            ,ROTATIONAL
0.048414,31.702797,12.944131,7,1.472,0.092,23.302,23.021,12.789,15.098,13.748,1,ROT                           ,ROTATIONAL
1.364527,31.079641,13.315447,9,0.951,0.091,21.668,18.73,11.124,12.268,11.469,1,ROT                           ,ROTATIONAL
0.644712,31.221024,13.764452,7,0.748,0.024,23.331,20.122,13.522,14.261,13.728,1,ROT                           ,ROTATIONAL
1.260791,30.985568,14.184038,9,0.656,0.092,21.381,14.534,8.585,9.302,8.7,1,L                             ,LONG_PERIOD
0.944723,30.99749,14.222859,9,0.583,0.024,23.257,17.145,12.176,12.731,12.331,1,L                             ,LONG_PERIOD
1.373666,33.577778,14.365825,5,0.492,0.012,20.901,15.806,11.563,12.029,11.717,1,ROT                           ,ROTATIONAL
1.414754,32.509499,14.434218,5,0.57,0.024,21.729,15.104,9.885,10.524,10.042,1,EW                            ,ECLIPSING
0.692235,31.659615,14.257756,10,0.588,0.282,20.334,15.562,10.742,11.305,10.83,1,EW                            ,ECLIPSING
2.23119,32.249314,14.555558,5,0.925,0.076,19.22,17.933,12.13,13.242,12.434,1,ROT                           ,ROTATIONAL
1.587303,31.673269,14.583749,5,0.447,0.084,15.661,12.153,8.054,8.232,7.993,1,DSCTC                         ,DELTA_SCUTI_ETC
0.699218,29.456006,13.622219,9,0.257,0.099,19.42,16.373,13.237,13.29,13.227,1,EA                            ,ECLIPSING
1.078206,29.446636,13.645503,9,0.479,0.058,22.52,16.638,12.513,12.868,12.565,1,EA                            ,ECLIPSING
1.130015,29.155016,14.011516,10,0.544,0.04,22.513,16.599,12.124,12.588,12.229,1,ROT                           ,ROTATIONAL
1.140842,29.107532,14.063534,10,0.631,0.019,23.405,16.495,10.966,11.484,11.065,1,ROT                           ,ROTATIONAL
0.759013,33.860843,13.328228,5,0.46,0.142,21.595,15.187,10.366,10.924,10.499,1,ROT                           ,ROTATIONAL
1.1817,30.142413,14.174851,6,0.664,0.056,23.226,19.834,14.307,14.939,14.453,1,RRAB                          ,RR_LYRAE
0.95665,30.006719,14.161303,9,0.433,0.049,20.529,15.749,12.693,13.138,12.853,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.995215,29.70032,14.340683,8,0.931,0.025,22.415,15.589,8.301,9.336,8.604,1,                              ,UNKNOWN
0.398769,29.167056,14.682005,8,0.66,0.036,22.295,17.003,11.161,11.699,11.236,1,ROT                           ,ROTATIONAL
0.580583,28.87183,14.563366,6,0.415,0.031,21.818,17.26,13.499,13.796,13.553,1,DSCT|GDOR|SXPHE               ,ECLIPSING
2.092508,33.984788,14.271364,5,0.839,0.02,23.676,18.663,11.428,12.41,11.74,1,ROT                           ,ROTATIONAL
1.131656,33.61393,14.261715,5,0.797,0.026,21.812,17.534,11.514,12.451,11.808,1,EA                            ,ECLIPSING
1.323922,29.099642,15.173308,6,0.693,0.056,23.805,16.903,10.803,11.484,10.979,1,ROT                           ,ROTATIONAL
0.341634,29.118603,15.16699,6,0.613,0.052,22.923,17.109,11.931,12.488,12.066,1,ROT                           ,ROTATIONAL
1.102452,30.880909,14.680591,7,0.523,0.043,22.653,16.387,12.0,12.493,12.132,1,ROT                           ,ROTATIONAL
2.226896,30.89604,14.701045,10,0.468,0.107,19.748,14.527,10.24,10.589,10.303,1,ROT                           ,ROTATIONAL
0.15038,134.636192,0.328094,221,0.542,0.064,23.836,17.899,13.557,13.953,13.629,1,ROT                           ,ROTATIONAL
0.715001,133.014787,9.420959,6,0.308,0.207,22.351,17.361,13.399,13.722,13.617,1,ROT                           ,ROTATIONAL
1.441628,132.883835,9.468229,7,0.893,0.065,21.252,20.095,13.302,14.297,13.561,1,ROT                           ,ROTATIONAL
1.122425,132.732987,9.493641,8,0.537,0.115,22.539,15.067,10.242,10.733,10.373,1,ROT                           ,ROTATIONAL
0.430868,132.466063,9.618068,7,0.536,0.083,22.82,16.824,12.205,12.663,12.309,1,ROT                           ,ROTATIONAL
0.984573,132.449574,9.653349,6,0.506,0.1,20.838,14.852,10.581,11.007,10.662,1,ROT                           ,ROTATIONAL
0.546925,132.432503,9.663502,5,0.714,0.163,20.672,20.009,15.005,15.837,15.204,1,ROT                           ,ROTATIONAL
0.399041,133.858995,9.879654,5,1.617,0.064,21.548,20.476,8.428,10.908,9.49,1,MISC                          ,UNKNOWN
1.516375,133.90271,9.904156,5,0.566,0.127,20.489,19.115,14.623,15.102,14.703,1,ROT                           ,ROTATIONAL
1.596727,128.55134,7.202836,5,-0.195,0.057,13.413,13.824,15.478,14.932,14.933,1,V1093HER                      ,UNKNOWN
0.884588,134.967652,5.616427,5,0.637,0.05,22.416,16.602,10.654,11.36,10.87,1,ROT                           ,ROTATIONAL
0.793836,137.247191,9.59474,5,0.151,0.081,14.937,14.238,11.868,11.755,11.805,1,EA/SD:                        ,ECLIPSING
0.52878,132.567847,9.790682,6,0.562,0.097,22.906,16.396,11.58,12.072,11.674,1,EW                            ,ECLIPSING
0.124479,132.510446,9.838502,5,0.642,0.1,24.053,17.472,11.76,12.341,11.877,1,ROT                           ,ROTATIONAL
1.76552,129.11027,6.982556,6,0.616,0.065,23.922,17.382,12.371,12.946,12.287,1,VAR                           ,UNKNOWN
1.6753,141.09877,6.378265,6,1.584,0.081,22.565,20.239,12.512,15.361,14.045,1,EA+UV                         ,ECLIPSING
0.264516,136.142637,9.298975,5,0.531,0.076,22.848,17.522,13.01,13.429,13.069,1,ROT                           ,ROTATIONAL
0.493624,136.134554,9.33158,5,0.527,0.096,21.793,18.526,14.451,14.817,14.502,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.63396,132.618329,9.897425,6,0.55,0.088,22.325,16.754,12.504,12.929,12.58,1,ROT                           ,ROTATIONAL
1.262457,136.443244,9.558956,5,0.492,0.086,21.159,16.028,11.847,12.236,11.928,1,ROT                           ,ROTATIONAL
0.174475,133.987439,4.168318,5,0.527,0.06,20.428,14.588,9.814,10.244,9.885,1,RRC                           ,RR_LYRAE
1.012989,129.104051,7.285687,5,0.674,0.068,23.354,17.004,11.637,12.345,11.568,1,VAR                           ,UNKNOWN
0.334548,134.552567,0.620706,369,0.655,0.062,22.886,17.999,12.612,13.192,12.746,1,ROT                           ,ROTATIONAL
1.294762,134.795367,5.746814,5,0.331,0.049,20.939,16.499,13.031,13.271,13.101,1,DSCT|GDOR|SXPHE               ,ECLIPSING
1.057967,134.81831,5.750874,5,0.62,0.07,23.514,17.956,12.889,13.57,13.104,1,RS                            ,ROTATIONAL
1.796241,136.525955,9.57369,5,0.486,0.087,20.994,14.866,10.701,11.068,10.749,1,ROT                           ,ROTATIONAL
2.269238,128.564939,7.468811,5,0.353,0.074,18.342,14.055,11.116,11.756,10.656,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.716856,135.832819,5.65097,5,0.593,0.059,22.784,15.818,10.279,10.899,10.436,1,L                             ,LONG_PERIOD
1.222735,136.140216,17.647771,5,1.077,0.156,22.138,21.011,15.06,16.425,15.498,1,ROT                           ,ROTATIONAL
0.425406,133.241428,10.264494,6,0.546,0.033,21.964,16.663,11.932,12.362,12.025,1,RS                            ,ROTATIONAL
0.807327,139.867729,6.081888,5,0.367,0.112,23.497,18.363,14.914,15.28,15.062,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.741095,128.065748,12.657019,5,0.253,0.067,18.688,15.786,12.722,12.813,13.08,1,VAR                           ,UNKNOWN
0.216059,136.021269,14.17855,7,0.554,0.07,23.947,17.345,13.278,13.749,13.069,1,ROT                           ,ROTATIONAL
0.230808,130.271945,9.049264,9,0.601,0.127,22.718,16.916,12.659,13.013,12.31,1,VAR                           ,UNKNOWN
0.538553,140.521261,7.000495,7,0.836,0.067,22.007,17.92,11.548,12.457,11.821,1,RS                            ,ROTATIONAL
0.165127,134.307114,5.364205,5,0.548,0.033,22.861,16.786,12.239,12.674,12.322,1,ROT                           ,ROTATIONAL
0.825614,136.168837,14.346731,5,0.389,0.124,21.085,17.002,13.785,14.56,13.867,1,EW                            ,ECLIPSING
0.412985,138.345436,4.54341,7,0.589,0.257,21.809,16.798,11.892,12.407,12.027,1,EW                            ,ECLIPSING
1.778751,138.65085,4.620293,5,0.42,0.072,20.205,14.086,10.143,10.629,10.234,1,ROT                           ,ROTATIONAL
0.181582,135.687338,5.996827,5,0.572,0.071,23.335,18.328,13.611,14.201,13.799,1,E                             ,ECLIPSING
2.642612,135.656629,9.579175,5,0.297,0.094,21.05,17.587,14.188,14.362,14.215,1,VAR                           ,UNKNOWN
1.069478,127.932174,12.447244,5,0.24,0.041,19.51,15.955,13.017,13.023,13.329,1,ROT                           ,ROTATIONAL
1.342221,127.925418,12.470689,5,1.108,0.044,23.399,20.42,12.167,13.594,12.94,1,ROT                           ,ROTATIONAL
0.591286,140.239653,6.658676,5,0.453,0.043,22.857,16.979,13.049,13.412,13.149,1,E                             ,ECLIPSING
1.422176,135.688308,9.641222,5,0.462,0.067,22.81,16.719,12.303,12.689,12.393,1,ROT                           ,ROTATIONAL
0.799656,135.750975,9.655627,5,0.331,0.05,19.889,15.541,12.082,12.26,12.117,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.374306,130.299838,8.861667,6,0.467,0.092,21.194,17.263,14.014,14.901,14.136,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.707276,130.684367,9.067831,8,0.557,0.159,23.394,16.75,12.778,13.099,12.348,1,ROT                           ,ROTATIONAL
0.182604,133.168526,10.33416,6,1.557,0.052,21.362,19.315,7.544,10.566,9.109,1,MISC                          ,UNKNOWN
0.47658,134.525415,0.653357,377,0.501,0.055,21.827,16.354,12.274,12.646,12.344,1,ROT                           ,ROTATIONAL
0.019001,136.481976,17.790873,6,0.351,0.146,17.281,14.114,10.931,11.12,10.945,1,DSCT                          ,DELTA_SCUTI_ETC
1.675191,136.333888,17.688922,6,0.526,0.164,23.596,17.027,11.771,12.229,11.897,1,ROT                           ,ROTATIONAL
0.024615,127.39379,8.916724,6,0.422,0.13,22.68,16.619,12.578,12.929,12.618,1,DSCT|GDOR|SXPHE               ,ECLIPSING
1.1482,136.269078,17.893582,5,0.727,0.055,23.644,17.18,10.488,11.171,10.678,1,ROT                           ,ROTATIONAL
0.43015,130.701414,8.48125,7,0.577,0.106,23.238,17.884,14.042,14.635,13.751,1,ROT                           ,ROTATIONAL
0.294457,142.405798,7.134412,7,0.452,0.045,22.295,16.978,13.38,13.693,13.452,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.466435,130.126866,9.032914,9,0.563,0.128,23.081,17.252,13.734,13.959,13.31,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.288263,130.134027,9.039369,9,0.581,0.129,23.029,17.519,13.65,13.942,13.291,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.231884,142.696141,7.202926,5,0.655,0.044,23.587,16.396,10.589,11.153,10.719,1,E                             ,ECLIPSING
0.112636,142.608929,7.205794,5,0.432,0.329,19.651,16.029,12.441,12.801,12.513,1,RRAB                          ,RR_LYRAE
0.141947,126.987634,9.61846,5,0.313,0.041,20.371,16.054,12.431,12.544,12.424,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.567229,133.706756,12.536858,5,0.518,0.052,22.822,15.95,11.325,11.768,11.474,1,ROT                           ,ROTATIONAL
0.982966,133.949636,12.468052,5,0.291,0.15,17.727,14.526,11.405,11.509,11.42,1,EC|RRC                        ,ECLIPSING
